Sartrouville,"2024-04-25 15:25:55"
"Ermont - Eaubonne","2024-04-25 15:26:08"
"Ermont - Eaubonne","2024-04-25 15:26:18"
"Villejuif - Louis Aragon","2024-04-25 15:26:18"
"Ermont - Eaubonne","2024-04-25 15:33:21"
"Villejuif - Louis Aragon","2024-04-25 15:33:21"
"Ermont - Eaubonne","2024-04-25 15:34:04"
"Villejuif - Louis Aragon","2024-04-25 15:34:04"
"Ermont - Eaubonne","2024-04-25 15:34:05"
"Villejuif - Louis Aragon","2024-04-25 15:34:08"
"Les Mureaux","2024-04-25 17:15:59"
Sartrouville,"2024-04-25 17:52:04"
Argenteuil,"2024-04-25 18:03:59"
"Ermont Halte","2024-04-25 18:04:35"
